ID_STOCK_SUSTANCIAS;ID_SUSTANCIA;UBICACION;CANTIDAD;UNIDAD;PUREZA;MARCA;FECHA_INGRESO;FECHA_CADUCIDAD
1;5;Bajomesada;235;g;63.636731843918604;Merke;2020-10-07;2022-10-07
2;26;Deposito B;53;kg;8.43476844410869;Quimica El Cholo;2014-04-25;2016-04-24
3;42;Estante;385;g;50.40014913904353;Merke;2019-08-29;2021-08-28
4;38;Deposito A;286;ml;43.56892907830145;Forza Pharmaceuticals;2017-03-09;2019-03-09
5;34;Bajomesada;242;l;23.498604119306805;Simba Arlich;2014-08-26;2016-08-25
6;30;Deposito B;370;l;11.581764490211897;WW Chemicals;2016-12-02;2018-12-02
7;21;Deposito B;163;l;59.68280877926006;Simba Arlich;2019-03-15;2021-03-14
8;43;Deposito A;375;kg;58.187864107024986;Forza Pharmaceuticals;2017-05-29;2019-05-29
9;47;Deposito A;100;g;53.4631849533871;Forza Pharmaceuticals;2013-06-09;2015-06-09
10;28;Deposito B;159;kg;13.676999688519404;Simba Arlich;2021-01-22;2023-01-22
11;2;Deposito B;367;g;84.55586635650415;Forza Pharmaceuticals;2012-10-18;2014-10-18
12;23;Deposito A;135;kg;68.95179962506023;Merke;2016-09-14;2018-09-14
13;38;Estante;396;l;34.939958178593734;Forza Pharmaceuticals;2020-12-07;2022-12-07
14;30;Deposito A;287;ml;49.95090962862459;Merke;2019-01-07;2021-01-06
15;28;Deposito A;55;ml;72.04865368143051;Simba Arlich;2016-03-17;2018-03-17
16;2;Deposito A;392;kg;39.35413083590384;Quimica El Cholo;2013-04-23;2015-04-23
17;45;Bajomesada;91;l;68.94436529387328;Forza Pharmaceuticals;2019-09-14;2021-09-13
18;33;Deposito B;87;l;21.58260704592883;Simba Arlich;2019-08-01;2021-07-31
19;42;Estante;346;l;45.81517469110396;Simba Arlich;2018-08-18;2020-08-17
20;11;Deposito B;400;l;21.62881838063193;Forza Pharmaceuticals;2013-06-08;2015-06-08
21;46;Deposito A;321;g;17.473815790574186;WW Chemicals;2019-06-07;2021-06-06
22;1;Deposito A;408;l;92.7818131440352;Forza Pharmaceuticals;2020-02-03;2022-02-02
23;4;Bajomesada;390;ml;74.25214164052701;Merke;2016-06-06;2018-06-06
24;46;Deposito A;138;kg;10.504964243694106;Forza Pharmaceuticals;2018-02-12;2020-02-12
25;43;Deposito B;382;g;79.99390720265681;Merke;2013-03-04;2015-03-04
26;50;Deposito B;74;ml;82.1829421203269;Merke;2015-01-05;2017-01-04
27;33;Deposito A;103;g;8.120086930704325;Forza Pharmaceuticals;2017-05-19;2019-05-19
28;22;Deposito B;275;kg;82.18891314323307;Merke;2012-10-13;2014-10-13
