ID_STOCK_EQUIPOS;ID_EQUIPAMIENTO;UBICACION;CANTIDAD;FECHA_INGRESO
1;20;Deposito B;8;2017-03-26
2;8;Deposito A;10;2019-12-22
3;9;Deposito B;6;2020-06-05
4;13;Deposito A;6;2019-04-27
5;15;Deposito B;7;2014-04-15
6;10;Deposito A;7;2013-10-30
7;16;Deposito A;5;2020-04-29
8;12;Estante;6;2016-04-21
9;14;Bajomesada;10;2016-10-01
10;14;Estante;9;2017-02-10
11;20;Estante;3;2020-12-06
12;4;Deposito A;5;2020-02-20
13;14;Estante;2;2020-01-29
14;19;Deposito B;1;2018-08-04
15;12;Estante;1;2017-10-18
16;19;Deposito A;6;2021-09-18
17;13;Deposito A;2;2020-08-17
18;15;Bajomesada;3;2013-05-11
19;16;Deposito B;4;2022-04-27
20;17;Deposito A;8;2014-10-09
