ID_EXPERIMENTO;ID_EMPLEADO;ROL
15;10;Supervisor
11;8;Observador
20;5;Responsable
31;2;Ejecutor
39;13;Responsable
42;16;Ejecutor
33;9;Responsable
23;9;Ejecutor
48;17;Ejecutor
26;3;Ejecutor
2;14;Ejecutor
8;11;Ejecutor
13;2;Supervisor
16;12;Ejecutor
31;17;Observador
36;18;Ejecutor
23;4;Observador
18;17;Supervisor
43;18;Responsable
29;5;Observador
31;16;Supervisor
39;1;Observador
25;15;Observador
37;4;Observador
30;5;Responsable
33;4;Ejecutor
28;1;Responsable
1;17;Supervisor
8;4;Ejecutor
7;10;Supervisor
24;15;Supervisor
27;19;Supervisor
33;17;Responsable
2;9;Ejecutor
36;4;Ejecutor
32;12;Observador
35;15;Responsable
6;4;Observador
13;15;Supervisor
26;9;Supervisor
22;17;Responsable
14;10;Observador
46;4;Responsable
22;9;Observador
44;8;Supervisor
49;7;Ejecutor
17;11;Observador
20;20;Observador
41;1;Ejecutor
50;5;Observador
4;2;Supervisor
3;18;Observador
46;13;Observador
15;13;Ejecutor
5;14;Supervisor
11;5;Responsable
12;1;Responsable
24;14;Ejecutor
24;9;Supervisor
29;12;Ejecutor
1;3;Ejecutor
3;9;Observador
44;13;Ejecutor
6;11;Supervisor
9;18;Supervisor
45;10;Ejecutor
7;17;Responsable
16;17;Responsable
45;13;Responsable
9;17;Ejecutor
5;2;Responsable
48;14;Observador
35;12;Ejecutor
49;3;Ejecutor
47;5;Responsable
28;9;Supervisor
30;11;Responsable
34;16;Responsable
42;14;Responsable
34;5;Supervisor
39;11;Observador
25;20;Ejecutor
4;4;Observador
15;15;Ejecutor
35;10;Supervisor
12;13;Supervisor
20;11;Ejecutor
11;17;Ejecutor
40;10;Supervisor
10;2;Supervisor
19;11;Observador
21;6;Supervisor
23;14;Responsable
8;20;Ejecutor
36;5;Observador
3;10;Supervisor
37;11;Responsable
49;14;Observador
2;10;Observador
46;14;Ejecutor
