ID_MOVIMIENTO_SUSTANCIAS;ID_STOCK_SUSTANCIAS;ID_EMPLEADO;OPERACION;CANTIDAD;FECHA_OPERACION
1;35;18;Consumo;174.1903367367322;2015-11-29
2;172;3;Ingreso;168.68640688421476;2018-02-08
3;13;5;Ingreso;394.13192118136055;2017-05-04
4;144;20;Ingreso;329.1046925227779;2019-06-20
5;66;14;Consumo;492.03534835428303;2015-01-08
6;124;1;Ingreso;127.26143078857936;2017-02-06
7;129;18;Ingreso;240.59938806840745;2021-05-03
8;183;6;Ingreso;114.66044940535971;2021-06-22
9;176;2;Ingreso;105.16053516740487;2019-03-11
10;6;17;Ingreso;300.7372334234774;2020-02-18
11;48;1;Ingreso;175.04054910119308;2014-08-03
12;86;4;Ingreso;410.298201126808;2021-12-18
13;188;5;Consumo;390.2543526015378;2019-10-28
14;160;19;Consumo;388.5798317539079;2021-02-02
15;27;12;Ingreso;496.6660118238932;2020-08-30
16;134;9;Ingreso;108.95853251617017;2022-04-11
17;51;2;Ingreso;416.1641348465661;2020-05-27
18;130;20;Ingreso;282.8918619250109;2020-07-25
19;75;8;Consumo;152.0096120444451;2020-04-24
20;4;4;Ingreso;431.1771204103017;2016-01-26
21;79;7;Ingreso;341.79069108222075;2014-09-05
22;183;13;Ingreso;461.00093235285846;2019-01-12
23;19;16;Ingreso;369.11619987246826;2018-04-24
24;31;10;Ingreso;194.07385200988347;2022-02-12
25;65;6;Consumo;157.22767944557236;2016-07-16
26;128;20;Ingreso;113.29988134750737;2022-03-23
27;35;18;Consumo;409.1722389100587;2015-11-16
28;43;12;Ingreso;239.82390125457027;2021-05-24
29;84;17;Ingreso;497.00315752322535;2022-04-20
30;49;17;Ingreso;473.33007457313454;2020-01-23
31;3;8;Consumo;345.49273167469045;2017-05-18
32;150;16;Consumo;373.6936361946919;2018-12-12
33;125;14;Consumo;343.12694348015003;2019-10-29
34;41;17;Ingreso;258.54121207252666;2018-03-17
35;22;20;Ingreso;246.7386496770092;2022-01-30
36;75;20;Ingreso;385.905642363384;2021-03-16
37;76;4;Ingreso;476.47575745729057;2021-12-06
38;108;2;Ingreso;371.9127122671511;2020-02-21
39;57;13;Consumo;422.9939361207497;2021-01-25
40;48;5;Ingreso;355.8676001021082;2018-05-31
41;81;14;Ingreso;390.4730319103562;2021-12-28
42;52;9;Ingreso;447.0554164305306;2019-12-09
43;53;16;Consumo;291.2498526481089;2019-01-31
44;114;17;Ingreso;380.5934495232982;2014-07-20
45;175;10;Consumo;392.52727165395993;2015-10-16
46;155;10;Consumo;194.7085299735948;2021-07-31
47;86;5;Ingreso;343.98435515642893;2020-07-30
48;24;17;Consumo;424.4892295012434;2022-03-15
49;93;20;Consumo;236.66114656066569;2021-02-16
50;74;8;Ingreso;270.56976262742955;2021-11-19
