ID_MOVIMIENTO_EQUIPOS,ID_STOCK_EQUIPOS,ID_EMPLEADO,OPERACION,CANTIDAD,FECHA_OPERACION
1,14,8,Baja,1,2021-09-16
2,2,18,Baja,2,2020-05-29
3,3,10,Alta,3,2021-08-20
4,15,3,Alta,2,2020-08-18
5,2,9,Baja,3,2020-10-03
6,15,16,Alta,3,2021-12-15
7,3,18,Alta,3,2020-01-25
8,10,11,Alta,1,2020-07-15
9,19,9,Baja,2,2020-05-30
10,5,10,Baja,3,2017-09-24
11,15,2,Alta,2,2021-09-20
12,15,5,Baja,2,2021-03-09
13,5,11,Alta,3,2017-07-24
14,1,14,Alta,3,2020-06-07
15,6,8,Baja,3,2021-10-17
16,4,7,Baja,2,2021-01-23
17,10,5,Alta,3,2021-04-16
18,14,2,Baja,3,2020-01-14
19,17,12,Baja,1,2021-08-22
20,9,3,Alta,1,2016-02-16
21,18,2,Alta,2,2021-07-02
22,18,18,Alta,1,2018-01-03
23,16,6,Alta,1,2018-06-25
24,13,7,Alta,3,2021-03-13
25,16,11,Alta,3,2020-04-19
26,15,1,Alta,1,2021-03-03
27,14,10,Baja,2,2021-11-19
28,10,18,Alta,2,2021-07-24
29,5,8,Alta,1,2018-06-02
30,13,11,Baja,3,2022-03-03
31,14,14,Alta,1,2020-04-21
32,5,14,Alta,3,2016-01-05
33,6,8,Baja,1,2022-05-03
34,17,13,Alta,3,2017-12-11
35,14,17,Baja,1,2019-12-25
36,13,16,Alta,3,2022-02-17
37,7,6,Baja,2,2022-01-15
38,14,11,Alta,3,2021-08-31
39,3,2,Baja,1,2018-03-11
40,11,4,Alta,1,2014-01-02
41,12,16,Baja,2,2021-05-27
42,1,15,Alta,2,2018-11-23
43,3,20,Baja,3,2015-03-11
44,7,1,Baja,1,2020-08-26
45,9,2,Alta,1,2020-06-19
46,8,13,Baja,1,2021-12-27
47,7,20,Alta,3,2020-05-18
48,10,14,Alta,3,2021-07-12
49,15,7,Alta,1,2020-08-14
50,12,11,Alta,2,2020-01-08
